0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
face,0.398031,-0.829608,1.023606,-0.080146,-1.841352,-0.666767,0.093392,-0.732472,-1.920505,-0.671482,0.181316,0.669307,-0.600269,0.630863,0.537424,-1.760144,0.715543,0.548652,0.001652,0.234329
email,-0.241659,0.899999,-0.107176,-0.344795,-0.681315,0.291889,-2.001378,1.659231,-0.755114,-0.813308,0.322363,-0.373162,-0.077082,0.204967,-0.449188,1.181429,1.727579,1.33297,0.353369,-1.474487
similar,-0.493013,-1.141051,0.228367,-0.794729,-0.727066,-0.368145,-0.809326,-0.811887,-1.599999,-0.588236,0.73706,1.248025,0.649471,-0.625548,0.062358,-1.692251,0.398756,0.758998,-0.922342,-0.617846
face,0.398031,-0.829608,1.023606,-0.080146,-1.841352,-0.666767,0.093392,-0.732472,-1.920505,-0.671482,0.181316,0.669307,-0.600269,0.630863,0.537424,-1.760144,0.715543,0.548652,0.001652,0.234329
provid,-0.338654,-0.025961,-0.649882,0.236272,0.063923,-0.061858,0.295753,-0.440017,-1.774726,-1.182718,0.412524,-0.573302,0.236438,-0.206308,-0.430698,-0.654256,1.058847,0.539075,-0.251232,-0.178237
interact,0.014921,0.192068,0.324707,1.207708,-0.393563,-0.896499,-0.794907,-0.196054,-2.237307,-1.274679,0.934627,0.433269,0.726649,-0.789657,-0.1775,-1.962556,2.178396,1.520528,-0.152644,0.655068
rememb,0.585506,0.44715,-0.095816,0.240465,-0.155621,0.375913,-0.178123,0.384348,-0.252862,0.033179,0.406351,0.344172,-0.036021,0.366092,-0.002472,-1.096406,0.208623,0.926147,0.173498,0.056904
go,-0.939563,0.747305,0.253256,0.865522,-0.174654,1.264537,-1.309959,1.414958,-1.155659,-0.417017,-0.775985,0.360202,-0.628958,-1.376874,0.490839,-0.630514,0.432341,1.068033,1.549473,-0.255734
box,0.037827,0.053186,-0.009857,0.021359,0.019558,-0.030811,0.104637,0.013397,0.04639,0.031961,-0.014526,-0.146719,-0.025582,0.070765,0.00406,-0.008838,0.044121,-0.049475,0.044963,0.062582
interact,0.014921,0.192068,0.324707,1.207708,-0.393563,-0.896499,-0.794907,-0.196054,-2.237307,-1.274679,0.934627,0.433269,0.726649,-0.789657,-0.1775,-1.962556,2.178396,1.520528,-0.152644,0.655068
life,-0.968717,-0.946828,0.294501,-0.499485,-1.138553,-0.579855,-0.664028,-0.806092,-0.319884,-0.084048,0.272343,0.284828,0.123794,-1.242669,0.200309,-1.05049,0.403139,0.214646,0.15258,0.349781
peopl,0.325451,-0.39052,0.647986,0.405558,-0.674926,-1.390997,-0.620292,0.631072,-0.803824,-0.417544,-1.164581,0.062919,-0.238224,-0.438513,0.008096,-1.110946,1.173382,0.13319,-0.471208,1.146874
peopl,0.325451,-0.39052,0.647986,0.405558,-0.674926,-1.390997,-0.620292,0.631072,-0.803824,-0.417544,-1.164581,0.062919,-0.238224,-0.438513,0.008096,-1.110946,1.173382,0.13319,-0.471208,1.146874
engag,0.038453,0.551051,-0.185357,1.465573,0.997603,-0.105134,-0.624983,0.703959,-1.534028,-0.99883,0.971618,0.65819,1.297973,-0.661921,0.213327,-1.574323,2.042916,1.65128,-0.208006,0.567908
activ,-0.017416,0.624388,0.149966,0.396247,1.063615,0.129994,0.006461,0.223522,-1.372437,-0.64474,0.23922,0.203934,1.30006,0.213292,0.192511,-1.012995,1.341161,0.868574,0.093697,0.579027
kinda,-0.335319,-0.096902,0.104639,0.144644,-0.047781,0.33646,-0.127289,-0.385252,-0.038525,0.10864,-0.192211,0.203798,-0.077321,0.07247,0.224321,-0.017369,-0.44039,-0.029465,-0.005585,0.087503
